node_id,node_name,node_type,city,region,country,latitude,longitude,confidence,status,notes
PORT_LA_LB,Los Angeles / Long Beach port complex,port_gateway,Los Angeles / Long Beach,California,USA,33.7542,-118.2165,high,active_candidate,"Port gateway used in current report model."
PORT_NY_NJ,Port of New York / New Jersey,port_gateway,Newark / New York,New Jersey / New York,USA,40.6840,-74.1480,high,active_candidate,"Port gateway used in current report model."
PORT_HOU,Port Houston,port_gateway,Houston,Texas,USA,29.7280,-95.2630,high,active_candidate,"Gulf port candidate used in LCL and sensitivity scenarios."
PORT_VAN,Port of Vancouver,port_gateway,Vancouver,British Columbia,Canada,49.2920,-123.1080,high,active_candidate,"Canadian Pacific gateway used in LCL and emissions scenarios."
PORT_MNZ,Port of Manzanillo,port_gateway,Manzanillo,Colima,Mexico,19.0530,-104.3180,high,active_candidate,"Mexican Pacific gateway used in emissions scenarios."
PORT_VER,Port of Veracruz,port_gateway,Veracruz,Veracruz,Mexico,19.2000,-96.1360,medium,excluded_candidate,"Mentioned in current report but excluded because no direct FCL offering was found."
DFW_DEPOT_NODE,Dallas / Arlington depot proxy,candidate_depot,Dallas / Arlington,Texas,USA,32.7357,-97.1081,high,proxy,"Source-backed central warehouse/logistics proxy from FIFA warehouse roles and IBC geography."
MEX_DEPOT_NODE,Mexico City depot proxy,candidate_depot,Mexico City,CDMX,Mexico,19.4326,-99.1332,high,proxy,"Mexico regional logistics and customs coordination proxy."
TOR_DEPOT_NODE,Toronto / Mississauga depot proxy,candidate_depot,Toronto / Mississauga,Ontario,Canada,43.5890,-79.6441,medium_high,proxy,"Canada East depot proxy near Toronto venue and major logistics market."
VAN_DEPOT_NODE,Vancouver / Richmond depot proxy,candidate_depot,Vancouver / Richmond,British Columbia,Canada,49.1844,-123.0936,medium_high,proxy,"Canada West depot proxy near BC Place, YVR, and Port of Vancouver."
LAX_DEPOT_NODE,Los Angeles / Inland Empire depot proxy,candidate_depot,Ontario / Inland Empire,California,USA,34.0633,-117.6509,medium,proxy,"West US depot proxy near LA/LB ports and large warehousing market."
EWR_DEPOT_NODE,Newark / Linden depot proxy,candidate_depot,Newark / Linden,New Jersey,USA,40.6220,-74.2446,medium,proxy,"East US depot proxy near Port NY/NJ and Rock-it New Jersey presence."
MIA_DEPOT_CONTROL_NODE,Miami / Doral depot-control proxy,candidate_depot,Doral,Florida,USA,25.8195,-80.3553,medium,proxy,"Southeast support/control proxy; stronger evidence for logistics coordination than physical warehouse."
PROD_TLC_BARRIE,The Look Company Barrie production site,production_site,Barrie,Ontario,Canada,44.3894,-79.6903,high,active_candidate,"Confirmed The Look Company North America HQ/manufacturing location."
PROD_TLC_TUKWILA,The Look Company / OAI+Rainier Tukwila production site,production_site,Tukwila,Washington,USA,47.4740,-122.2610,high,active_candidate,"Confirmed OAI+Rainier Seattle-area production location."
PROD_TLC_TAMPA,The Look Company / OAI+Rainier Tampa production site,production_site,Tampa,Florida,USA,27.9506,-82.4572,high,active_candidate,"Confirmed OAI+Rainier Tampa production location."
PROD_WASS_TEMPE,Wasserman Live / Bluemedia Tempe production site,production_site,Tempe,Arizona,USA,33.4255,-111.9400,high,active_candidate,"Confirmed Bluemedia/Wasserman Live Tempe production presence."
PROD_WASS_NC,Wasserman Live North Carolina production proxy,production_site,Charlotte,North Carolina,USA,35.2271,-80.8431,medium,proxy,"State-level North Carolina production reference; city is a modeling proxy."
PROD_CHINA_SHANGHAI,China origin proxy,production_site,Shanghai,Shanghai,China,31.2304,121.4737,low,proxy,"Generic China production/export origin matching current report assumption."
STAD_TOR,Toronto Stadium,stadium,Toronto,Ontario,Canada,43.6332,-79.4186,high,active,"FIFA World Cup 26 host venue."
STAD_VAN,BC Place Vancouver,stadium,Vancouver,British Columbia,Canada,49.2768,-123.1119,high,active,"FIFA World Cup 26 host venue."
STAD_MEX,Mexico City Stadium,stadium,Mexico City,CDMX,Mexico,19.3029,-99.1505,high,active,"FIFA World Cup 26 host venue; commonly known as Estadio Azteca."
STAD_MTY,Monterrey Stadium,stadium,Monterrey,Nuevo Leon,Mexico,25.6689,-100.2449,high,active,"FIFA World Cup 26 host venue; commonly known as Estadio BBVA."
STAD_GDL,Guadalajara Stadium,stadium,Guadalajara,Jalisco,Mexico,20.6818,-103.4626,high,active,"FIFA World Cup 26 host venue; commonly known as Estadio Akron."
STAD_ATL,Atlanta Stadium,stadium,Atlanta,Georgia,USA,33.7554,-84.4008,high,active,"FIFA World Cup 26 host venue; commonly known as Mercedes-Benz Stadium."
STAD_BOS,Boston Stadium,stadium,Foxborough,Massachusetts,USA,42.0909,-71.2643,high,active,"FIFA World Cup 26 host venue; commonly known as Gillette Stadium."
STAD_DAL,Dallas Stadium,stadium,Arlington,Texas,USA,32.7473,-97.0945,high,active,"FIFA World Cup 26 host venue; commonly known as AT&T Stadium."
STAD_HOU,Houston Stadium,stadium,Houston,Texas,USA,29.6847,-95.4107,high,active,"FIFA World Cup 26 host venue; commonly known as NRG Stadium."
STAD_KC,Kansas City Stadium,stadium,Kansas City,Missouri,USA,39.0490,-94.4839,high,active,"FIFA World Cup 26 host venue; commonly known as Arrowhead Stadium."
STAD_LA,Los Angeles Stadium,stadium,Inglewood,California,USA,33.9535,-118.3392,high,active,"FIFA World Cup 26 host venue; commonly known as SoFi Stadium."
STAD_MIA,Miami Stadium,stadium,Miami Gardens,Florida,USA,25.9580,-80.2389,high,active,"FIFA World Cup 26 host venue; commonly known as Hard Rock Stadium."
STAD_NY_NJ,New York New Jersey Stadium,stadium,East Rutherford,New Jersey,USA,40.8135,-74.0745,high,active,"FIFA World Cup 26 host venue; commonly known as MetLife Stadium."
STAD_PHI,Philadelphia Stadium,stadium,Philadelphia,Pennsylvania,USA,39.9008,-75.1675,high,active,"FIFA World Cup 26 host venue; commonly known as Lincoln Financial Field."
STAD_SF,San Francisco Bay Area Stadium,stadium,Santa Clara,California,USA,37.4030,-121.9700,high,active,"FIFA World Cup 26 host venue; commonly known as Levi's Stadium."
STAD_SEA,Seattle Stadium,stadium,Seattle,Washington,USA,47.5952,-122.3316,high,active,"FIFA World Cup 26 host venue; commonly known as Lumen Field."
